PLAYER,All-Star,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
Kendrick Nunn,0,MIA,24,51,34,17,30,15.3,6.1,13.8,43.9,1.9,5.7,34.1,1.2,1.5,82.9,0.3,2.5,2.7,3.5,1.7,0.9,0.2,2.2,25.2,0,0,1.5,109.4,107.5,1.9,18.7,1.99,17.6,1,7.9,4.5,8.9,50.9,52.9,23.4,98.88,8.6
Kenrich Williams,0,NOP,25,35,12,23,22.3,3.8,1.4,4.1,34.3,0.7,2.7,26,0.3,0.7,37.5,1.4,3.7,5.1,1.5,0.6,0.7,0.6,2.3,15.5,0,0,-1.4,105.8,108.2,-2.3,8.8,2.52,23.5,5.6,15.8,10.5,9.3,43,43,9,103.55,5.4
Kent Bazemore,0,SAC,30,54,24,30,24.7,8,2.7,7.6,35.3,1.2,3.7,32.8,1.5,1.9,77.7,0.4,3.6,4,1.3,1.3,1,0.6,2.8,18.6,0,0,-0.1,107.7,107.4,0.2,7.5,1,12.1,1.5,13.4,7.5,12.1,43.4,47.9,16.5,102.19,5.5
Kentavious Caldwell-Pope,0,LAL,27,53,41,12,25.3,9.5,3.4,7.2,47,1.4,3.5,41.5,1.3,1.6,81.9,0.6,1.5,2.1,1.7,0.8,0.8,0.2,1.8,16.8,0,0,3.4,113.9,108,5.9,9,2.04,16.6,2.5,5.4,4,8.1,56.9,60.1,14.1,101.98,6.9
Kevin Hervey,0,OKC,23,6,3,3,2.2,0,0,0.8,0,0,0.7,0,0,0,0,0,0.3,0.3,0.2,0,0,0,0.2,0.7,0,0,-0.7,80,96.6,-16.6,14.3,0,16.7,0,18.2,7.7,0,0,0,15.2,107.04,-8.3
Kevin Huerter,0,ATL,21,45,14,31,30.3,12.3,4.5,10.7,41.8,2.3,5.8,39.2,1,1.3,82.5,0.6,3.5,4.1,3.4,1.6,0.8,0.5,2.4,24.5,1,0,-4.6,106.8,113.7,-6.9,15.9,2.05,20.8,1.9,11.2,6.5,10.1,52.5,54.5,17.4,104.08,7.9
Kevin Knox II,0,NYK,20,54,17,37,18.3,6.8,2.3,6.3,36.8,1.1,3.2,32.6,1,1.6,65.1,0.4,2.5,2.9,0.9,0.6,0.4,0.4,1.6,13.3,0,0,-3.6,99.6,108.8,-9.2,7.7,1.46,10.9,1.8,13.2,7.2,7.5,45.2,48,17.2,102.72,6.2
Kevin Love,0,CLE,31,46,11,35,31.3,17.7,6,13,45.7,2.6,6.8,38,3.2,3.7,85.3,0.9,8.9,9.8,3,2.5,0.6,0.3,1.6,34.2,19,0,-6.5,105.9,116.6,-10.8,14.6,1.21,15,2.7,29.5,15.5,12.4,55.6,60.2,22.7,100.34,14.3
Kevin Porter Jr.,0,CLE,20,42,12,30,22.7,9.8,3.7,8.1,45.9,1,3,34.7,1.3,1.8,71.1,0.4,2.8,3.2,2,1.9,0.9,0.2,2.7,17.9,0,0,-5.8,101.6,113.2,-11.6,13.8,1.06,15.5,1.7,12.2,6.7,14.6,52.2,54.7,19.9,100.42,7
Kevon Looney,0,GSW,24,15,5,10,11.7,2.9,1.2,3.4,35.3,0.1,0.5,14.3,0.4,0.6,66.7,1.5,1.6,3.1,0.7,0.5,0.5,0.3,1.7,9.4,0,0,-3.8,95.7,112.2,-16.4,10,1.57,15.5,11.6,15,13.1,9.9,36.3,39.1,14.2,101.64,4.5
Khem Birch,0,ORL,27,38,15,23,20.3,4,1.5,3,49.6,0,0,0,1.1,1.8,61.2,1.8,2.9,4.7,0.9,0.6,0.4,0.6,1.9,13.4,0,0,-2.3,101.8,107.6,-5.8,6.5,1.52,17.3,8.2,14.6,11.2,11.4,49.6,53.7,9.2,98.74,6.2
Khris Middleton,1,MIL,28,47,39,8,29.6,20.4,7.4,14.9,50.1,2.4,5.5,43.8,3.1,3.5,90.2,0.8,5.4,6.1,4.3,2,1,0.1,2.1,35.6,5,0,9,113.9,99.9,14,21.2,2.13,19.1,2.5,15.5,9.4,9,58.3,62.4,25.3,106.66,15.6
Khyri Thomas,0,DET,24,2,1,1,2.8,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0,0,0,0,0,0.5,0,0,-2,41.7,81.8,-40.2,0,0,0,0,0,0,0,0,56.8,8.3,98.28,0
Kostas Antetokounmpo,0,LAL,22,3,3,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0.9,0,0,-0.7,108.3,125,-16.7,16.7,0,100,0,33.3,14.3,0,0,0,0,112.83,7.3
Kris Dunn,0,CHI,26,51,19,32,24.9,7.3,3,6.7,44.4,0.6,2.2,25.9,0.8,1.1,74.1,0.5,3.2,3.6,3.4,1.3,2,0.3,3.1,22.4,0,0,-0.6,103.5,103.6,-0.1,19.8,2.54,28.5,1.7,13.2,7.3,11.2,48.7,51,14.5,101.61,8.2
Kristaps Porzingis,0,DAL,24,42,24,18,30.5,18.4,6.3,15.2,41.6,2.3,6.6,35,3.5,4.5,77.5,1.6,7.5,9.1,1.5,1.7,0.7,1.9,3.1,37.7,17,0,4.7,115.4,108.4,7.1,7.5,0.89,7.3,5,22.3,13.8,8.2,49.2,53.7,25.7,100.92,11.8
Ky Bowman,0,GSW,23,40,9,31,21.9,7,2.8,6.9,40,0.8,2.4,32.6,0.7,0.9,82.9,0.5,2,2.5,3,1.4,0.9,0.2,2.2,16.2,0,0,-2.8,100.3,106.8,-6.5,21,2.15,25.5,2.1,8.7,5.3,11.9,45.6,48.2,16.4,101.63,6.4
Kyle Anderson,0,MEM,26,48,26,22,18.1,5.3,2.2,4.4,49.8,0.2,0.9,19.5,0.7,1.1,64.8,0.9,3.2,4.1,2.1,0.9,0.8,0.5,1.5,16.4,0,0,-1.7,101.7,105.8,-4.1,15.9,2.51,27,5,15.5,10.5,10.7,51.6,53.9,13.2,105.33,9.8
Kyle Guy,0,SAC,22,2,1,1,2,1,0.5,1,50,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5,100,130,-30,0,0,0,0,0,0,0,50,50,20,121.01,4.2
