PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Ja Morant,2020,MEM,0,21,24,12,12,30.7,19.8,7.2,15.8,45.4,0.9,3.8,23.3,4.6,5.8,79.7,0.8,2.5,3.3,7.7,2.9,1,0.2,1.5,36,7,1,-0.1,113.5,113.5,0,36.1,2.67,26.5,2.6,8.4,5.4,9.9,48.2,54,28.4,102.92,12.4,"1,581"
JaKarr Sampson,2020,IND,0,28,15,7,8,6.5,2.6,1,2.1,46.9,0.1,0.3,20,0.5,0.7,80,0.5,1.4,1.9,0.1,0.4,0.1,0.2,0.7,5.6,0,0,2.1,113.8,98.6,15.2,1.3,0.17,2.3,8.4,19.3,14.2,14,48.4,53.6,17.2,104.14,8.8,210
JaMychal Green,2020,DEN,0,30,25,15,10,20.5,9.1,3.2,7.2,44.4,1.6,3.8,42.7,1.1,1.3,84.4,1.6,4.4,6,1,1,0.6,0.3,2.7,19.4,1,0,3.2,114.4,106.8,7.6,6.7,0.92,9.8,7.4,21.5,14.2,10.7,55.8,58.7,18,99.42,9.8,"1,060"
JaVale McGee,2020,CLE,0,33,27,11,16,15.2,7.5,3.1,6.4,48.9,0.2,0.6,29.4,1,1.7,60.9,1.6,3.6,5.1,1,1.3,0.5,1.2,2.6,18.9,0,0,-4.3,95.6,109.4,-13.8,11.2,0.72,10.1,9.2,23.8,16.1,14,50.3,52.3,23.5,99.88,11.1,856
Jabari Parker,2020,SAC,0,26,2,0,2,12.5,4,2,3.5,57.1,0,0.5,0,0,0,0,0.5,2.5,3,0.5,1.5,0,0.5,2,8.4,0,0,-8.5,101.9,128.6,-26.7,5.3,0.33,9.1,3.2,29.4,12.5,27.3,57.1,57.1,16.1,105.87,4.2,54
Jaden McDaniels,2020,MIN,0,20,30,4,26,19.1,5.1,1.9,5,38.3,0.9,2.8,33.7,0.4,0.8,52.2,0.6,2.8,3.4,1,0.8,0.3,1,2.4,13.9,0,0,-1.2,103.8,106.6,-2.7,7.1,1.3,14.2,2.7,13.6,7.9,10.8,47.7,48.4,12.9,103.36,4.6,"1,235"
Jae Crowder,2020,PHX,0,30,32,21,11,27.6,10.1,3.4,8.5,40.2,2.4,6.4,37.6,0.9,1.1,82.9,0.4,4.6,5,2.1,0.9,0.8,0.3,1.8,21.7,0,0,2.7,110.9,105.9,5.1,10.9,2.34,17.8,1.5,16.1,8.9,7.6,54.4,56.6,15.7,99.3,9,"1,824"
Jae'Sean Tate,2020,HOU,0,25,34,11,23,27.5,9.9,4,7.4,53.6,0.6,2,31.9,1.3,1.7,75.4,1.9,3.4,5.3,1.7,1.2,0.9,0.5,3.1,21.9,2,0,-2.1,105,107.9,-2.9,9.2,1.43,15.3,6.1,12.2,9,10.7,57.9,60.5,14,102.82,8.3,"1,993"
Jahlil Okafor,2020,DET,0,25,12,1,11,10,4.3,2.1,3.5,59.5,0,0.3,0,0.1,0.2,50,1.1,1.2,2.3,0.3,0.3,0.2,0.2,0.8,8,0,0,-3,94.1,106.6,-12.5,5.1,0.75,6,10.3,11.4,10.8,8,59.5,59.5,16.5,102.32,10,253
Jahmi'us Ramsey,2020,SAC,0,19,4,0,4,3.9,1.3,0.5,1,50,0.3,0.8,33.3,0,0,0,0,1,1,0.3,0.3,0,0.3,0,3.3,0,0,2.3,130.6,102.7,27.9,6.3,1,16.7,0,23.5,10.5,16.7,62.5,62.5,11.6,111.95,9,36
Jake Layman,2020,MIN,0,27,24,4,20,15.5,6.4,2.5,4.8,51.3,0.6,2,31.9,0.9,1.1,77.8,0.3,1.3,1.5,0.7,0.7,0.8,0.5,1.1,12.4,0,0,-3.3,97.5,106.8,-9.3,6.7,0.94,10.1,1.7,7.8,4.6,10.7,57.8,60.7,15.8,103.72,8.4,801
Jakob Poeltl,2020,SAS,0,25,32,18,14,23.4,6.5,3,5,61,0,0,0,0.5,1.5,31.9,3,4.3,7.3,1.8,1.2,0.6,1.6,2.2,23.4,4,0,3.7,110.5,103.5,7.1,10,1.57,21.2,11.7,17.3,14.5,13.6,61,58.2,11.9,101.28,9.5,"1,585"
