PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTÂ Ratio,OREB%,DREB%,REB%,TOÂ Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
Michael Porter Jr.,2019,DEN,0,22,38,28,10,14,7.8,3.1,6,51.1,1,2.2,43.5,0.7,0.9,77.1,1.1,3.1,4.2,0.7,0.8,0.4,0.4,1.7,15.7,4,0,0.7,111.7,109.4,2.3,7.8,0.97,9.4,7.4,22.1,14.5,9.7,59.3,61.1,20.6,101.66,12.4,"1,124"
Mikal Bridges,2019,PHX,0,23,47,20,27,24.3,7.6,2.8,5.4,51.6,0.6,1.9,32.2,1.3,1.7,80.8,0.8,3,3.8,1.5,0.9,1.4,0.5,2.1,19.2,0,0,1.9,109.2,105.2,3.9,8.6,1.69,17.6,3.2,11.8,7.6,10.4,57.2,61.3,12,104.23,8.5,"2,476"
Mike Conley,2019,UTA,0,32,28,17,11,27.3,12.6,4.3,11.4,37.7,1.6,4.7,33.3,2.4,3.1,78.2,0.6,2.4,3,4.1,1.9,0.7,0.1,2.2,22.8,0,0,1.1,107.7,106.4,1.3,22.9,2.15,21.8,2,8.3,5.2,10.2,44.7,49.4,22.6,101.69,8,"1,623"
Mike Muscala,2019,OKC,0,28,35,20,15,12.8,4.7,1.5,4,38.6,1.1,3.1,34.6,0.5,0.6,81.8,0.3,2.1,2.4,0.9,0.4,0.2,0.2,1.3,9.8,0,0,0.3,102.7,102.5,0.2,10.2,2.38,16,2.4,16.2,9.3,6.7,51.8,54.4,15.5,104.6,8,977
Mike Scott,2019,PHI,0,31,49,31,18,17.7,5.6,2,5.1,39.4,1.1,3.3,32.9,0.4,0.5,87,0.8,2.6,3.4,0.6,0.3,0.3,0.1,1.3,11.4,0,0,2.1,107.3,101.7,5.6,4.6,1.71,9.5,4.6,13.8,9.2,5.6,50.2,52.1,13,102.42,7.1,"1,848"
Miles Bridges,2019,CHA,0,22,48,16,32,30.1,12.2,4.7,10.7,43.9,1.5,4.2,34.7,1.4,1.7,81.3,1.3,4,5.4,1.8,1.6,0.6,0.7,2.1,23.7,3,0,-7.6,102.9,115,-12.2,9.5,1.12,12,4.1,13.6,8.7,10.7,50.7,53.4,18.6,97.71,8.1,"2,933"
Mitchell Robinson,2019,NYK,0,22,45,12,33,22.9,9.4,4,5.5,71.8,0,0,0,1.4,2.4,60.2,2.8,4,6.8,0.5,0.7,0.9,1.9,3.3,25.9,3,0,-3.2,104.7,110.2,-5.4,3.6,0.8,6.9,11,16.2,13.5,8.6,71.8,71.2,13,100.8,12.3,"2,149"
Miye Oni,2019,UTA,0,22,3,2,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0.1,0,0,-4,61.1,121.1,-59.9,0,0,0,0,9.1,4.8,100,0,0,4.5,106.14,0,18
Mo Bamba,2019,ORL,0,22,44,20,24,15.3,5.5,2.2,4.8,45.5,0.6,1.8,32.9,0.5,0.7,66.7,1.5,3.6,5.1,0.7,0.8,0.4,1.4,1.9,17.1,1,0,0.5,100.8,100.1,0.6,7,0.85,10,8.5,21.4,14.8,11.7,51.6,53.1,16.1,99.44,11.4,"1,403"
Monte Morris,2019,DEN,0,25,48,33,15,19.9,7.8,3.1,7.1,44,0.8,2,40,0.7,0.9,79.5,0.3,1.4,1.8,3.6,0.7,0.7,0.2,0.9,17.2,0,0,0.5,106.9,106,0.9,26,5.18,30.4,1.4,6.8,4.1,5.9,49.6,51.8,16.9,100.1,10.3,"1,996"
